Config,Gain,Vcc,Vout,RC,RE,RG
CC,38.30210399,14.16643122,10.34345813,120.2353788,259.6453032,19002.114
CE,43.75573962,7.562573107,3.033964755,4528.608352,103.4724701,8937.567335
CG,63.42257243,10.16540857,14.17063435,172.2993583,575.1493792,15627.0211
CG,60.26601263,10.02954957,10.93095897,635.0461977,531.5038897,2903.179817
CE,32.90023272,18.33075966,12.30261813,6028.141529,183.1998902,9518.186967
CG,90.78670325,5.639534882,2.564164951,492.3257459,552.5173367,20892.33883
CC,49.65298063,13.62908254,9.370398047,952.0490915,784.3468593,3762.802242
CC,63.30055069,11.28103457,11.7943915,265.3518061,232.8538178,8199.133277
CE,46.18238335,12.83438214,18.1081825,-5273.800361,-114.220067,9543.585405
CC,54.23470478,10.58595409,12.38377291,117.5137117,366.4955954,19593.25873
CE,84.86769277,17.10687107,4.670526543,12436.34453,146.5130302,9505.161975
CG,77.31315623,15.42913393,12.33730013,562.155467,64.79830048,15063.86793
CG,80.89209745,18.35971204,5.161232104,867.7978911,129.1199196,6135.972375
CG,54.69043581,12.45835652,4.714062946,546.6455611,60.4709714,21682.69119
CC,79.3868307,9.153684102,2.448662979,641.0880096,62.51088349,5535.375656
CG,64.62797778,10.73882814,14.11712108,934.9525529,202.106254,535.1423612
CG,94.26467389,12.80483913,15.18637289,170.3310896,487.6862241,5050.305823
CE,42.77613708,13.28959318,6.192602924,7096.990256,165.8850316,9348.448805
CG,75.20786467,10.37603284,17.79453599,146.9483165,729.0531067,7865.396083
CC,48.32569705,15.03693422,1.210128531,120.417533,851.2775324,657.3500011
CC,52.88943658,15.80431263,6.983153814,132.958387,427.6847577,2910.607273
CC,107.3809277,16.21094254,12.47930896,722.2323633,568.9673172,974.7011219
CG,79.65631474,6.208363081,2.405036864,747.0533283,739.2554337,2883.283784
CC,64.4206231,5.675773669,13.6219658,928.6861285,626.003587,91.40535559
CC,41.47237416,7.556522404,7.240627883,831.5386069,326.4144157,20877.14434
CG,49.51846407,7.732130746,7.7087158,701.3784409,672.8150711,2024.659997
CE,46.58534401,8.083407037,12.70681919,-4623.412152,-99.27106655,9256.836962
CE,59.72060549,8.28690889,8.754611842,-467.7029526,-7.856517259,9164.774837
CE,28.25014765,17.32174981,8.669667945,8652.08187,306.241784,9419.087682
CG,34.1867746,14.84869833,10.43858438,545.9556878,883.966874,9819.698243
CC,30.96030211,5.605103048,1.920405633,621.920983,31.31920755,19069.60234
CG,32.19753105,5.804724081,15.8813557,190.8429719,494.0900495,12993.89689
CG,57.53693874,5.545476324,4.509560677,177.8405272,556.81771,10761.48098
CE,60.03488984,17.91503969,14.88591227,3029.127419,50.43111689,9581.116688
CC,44.13576084,10.63704033,15.55162827,488.7339577,678.7577371,2154.072243
CE,21.64992295,16.53779437,5.599732075,10938.06229,505.1990748,9271.24558
CE,50.52474829,9.521468415,5.897393645,3624.07477,71.70370509,9189.511878
CC,54.58242175,16.48211497,3.168135549,113.2278619,625.5095624,21963.32142
CE,55.43976803,8.278620051,7.092168993,1186.451058,21.37572191,9128.628059
CG,52.69604567,14.42586759,9.052431525,916.520237,67.24144286,14891.28781
CC,53.198076,8.323905442,1.175601233,509.3728453,362.1739273,12833.90851
CC,-5.206043604,7.448066102,9.494495124,205.8981866,194.4021861,11669.81939
CC,38.26827237,17.24304592,7.875511526,617.5282936,887.5081873,5365.090102
CG,75.52634408,18.58226928,6.22303741,341.2289,770.2500381,12188.39842
CC,85.45031826,17.55458178,6.214251898,601.9527238,171.5604174,4749.339428
CC,95.2298363,17.02807159,8.300585947,635.7987462,619.9575326,21727.18754
CE,28.6952251,12.73558127,13.46724562,-731.6643537,-25.52277363,9470.399339
CG,55.87435346,9.028464713,12.2807895,951.3712639,598.619777,12090.50281
CC,90.76882514,5.026167551,12.69205338,373.2044897,614.5718728,3811.539861
CE,76.07650148,18.4311172,7.217575424,11213.54178,147.3732315,9540.248579
CG,49.31674458,6.039766731,7.070539569,910.024811,543.022036,6482.674892
CE,49.52015908,9.104753378,10.47012289,-1365.369515,-27.59699372,9261.481362
CE,33.42765238,18.61635364,10.01376614,8602.587503,257.3244365,9485.761576
CE,39.63158451,11.26525436,12.53601929,-1270.764932,-32.0894493,9407.105664
CC,35.43359485,11.08518142,4.756571104,534.4483976,515.7265319,10552.1472
CC,24.22270476,11.18182796,15.3884997,969.3566348,615.1509088,388.2641642
CE,17.71816684,12.76210671,10.58202921,2180.077502,123.0169333,9355.108877
CC,47.09699591,13.97801724,13.88944633,313.816104,47.19171872,2912.165852
CG,50.07305521,15.82160309,9.753897066,693.9277698,309.8040125,21596.70144
CG,124.2027348,9.236502634,15.4461932,873.7535894,833.9173778,15455.03089
CC,65.33924462,16.94087987,17.03820445,925.2062223,455.7437279,8032.976248
CE,31.14692622,18.07846087,16.76465233,1313.808538,42.15600138,9589.480539
CG,76.52705625,9.204004339,12.95647574,378.4359916,512.506999,14322.90627
CG,67.70997847,12.07728755,12.48238152,845.1502492,479.3246472,13122.68073
CC,65.69026856,15.86141151,14.5874773,969.8965897,988.3734354,8221.528782
CG,34.86318054,5.4844036,7.79808695,425.9997216,666.3057802,1128.539157
CG,-33.97929194,11.01575206,10.9211212,636.6857159,29.21906056,17933.69921
CE,16.23715591,19.61070714,5.471565914,14139.14123,870.7642756,9199.027213
CC,99.19976841,11.47765541,9.190374318,315.9273729,995.8436083,876.0124134
CE,37.12134549,17.86093819,10.20568699,7655.2512,206.1973526,9492.637317
CG,70.08368512,14.02817897,2.69555256,350.2512945,669.1318691,20801.30169
CC,33.23954612,8.786411971,8.595212286,323.707917,891.8898473,19868.69806
CC,27.81270779,6.965632672,9.716314583,263.0771974,157.6934773,10040.89234
CE,131.7021881,14.68241966,3.583676268,11098.74339,84.24651857,9465.860167
CG,41.4424426,13.23620474,18.373618,100.6832747,538.5392669,15416.8608
CG,63.93345237,7.989689813,13.33083367,193.3748004,108.0375401,8454.068073
CG,61.34620471,15.50313544,12.79997382,363.0325458,591.737659,20066.10849
CG,60.32128239,13.14930847,4.312360651,206.2632626,923.8148649,7115.549911
CG,71.47162839,5.53634467,6.558409493,324.5571108,291.3308773,6985.641075
CG,64.30550098,14.05785608,8.28271303,585.6859917,665.620141,1326.492587
CE,19.72798532,5.240116595,16.22242106,-10982.30446,-556.7115691,9726.55488
CC,50.42588605,10.58783445,2.909575988,779.5949122,986.5860277,227.7191995
CE,12.18691863,13.54993751,11.58425114,1965.686371,161.269781,9364.373614
CE,84.5714022,9.061392021,6.246946115,2814.445906,33.25393157,9190.79328
CC,-6.809305572,11.52944992,17.67375803,171.1372671,400.9095755,10859.94603
CG,70.38226795,6.462015261,7.70972459,959.1253534,826.6801489,15455.68053
CC,32.81617279,19.48937625,1.82391391,565.9649816,971.29318,5942.770118
CC,34.97119344,8.693163326,13.09608972,760.3370671,955.8582715,854.5263067
CE,61.5480208,14.33371662,16.23536515,-1901.648525,-30.92198905,9533.21387
CE,75.66957497,5.510378818,11.47504065,-5964.66183,-78.85010021,8872.763706
CE,37.61290128,17.46401626,17.63355985,-169.5435923,-4.532591452,9601.771209
CG,22.38922324,12.07123463,3.108108668,298.2364196,139.6780088,485.0883801
CG,62.54805343,5.700931341,7.126744366,817.8592939,765.4807395,17177.15896
CG,91.67730982,6.222331404,7.448848925,424.0606927,184.4458945,7359.198455
CC,64.20919201,6.34878368,3.856578218,674.9949672,165.8020509,15813.66143
CE,81.28492245,9.411233113,8.704935978,706.2971349,8.664153088,9247.001807
CC,59.85597989,8.00803462,18.37495325,206.2448137,601.9288915,12194.23199
CC,32.06493526,14.66648885,7.068883362,123.399126,123.3769091,7904.340981
CC,55.09604783,11.45310273,12.00422546,150.5574796,101.7215575,20826.26552
CG,63.78225983,16.32863679,4.290911849,663.0760079,199.092787,15486.88201
CG,-8.847386362,9.888674189,4.042693295,845.4069353,530.4637343,10733.6989
CG,67.51799332,19.41979867,6.720881746,418.6646661,75.41123322,11552.45227
CC,26.13200723,15.57113444,6.236078723,362.0957477,23.33218714,17136.97019
CE,57.88981266,15.47989793,13.83336124,1646.536693,28.4175984,9529.442893
CE,58.50477168,11.64379705,10.26113586,1382.661191,23.60830633,9378.546102
CE,33.55470375,11.29273094,2.330087309,8962.643634,267.0804318,9143.625721
CE,47.53419418,14.90169132,13.20380304,1697.888281,35.69430293,9506.301475
CC,87.3971261,15.80620466,16.39385221,120.8813155,622.5359855,10505.41955
CG,20.08729279,9.794247772,18.42351721,472.7068083,154.1290088,15982.78745
CG,6.503689961,10.41723453,16.10866001,943.373936,204.3147088,6898.348511
CG,8.414454012,13.84302096,13.36112563,465.1138885,647.3836094,7655.700853
CC,35.54658516,15.69120131,4.286434165,793.6259801,339.8090024,11273.19147
CC,122.2623331,16.21229302,12.87512325,525.761562,522.8766739,4366.972918
CC,72.63603797,19.95533594,8.587449394,893.2060423,245.9343116,15839.46529
CG,31.9905698,11.71741834,10.94649019,198.2200152,359.2575468,14607.60556
CG,31.61180855,17.67373558,4.864649424,603.3299817,307.3881393,16077.06284
CG,35.04296031,9.557673706,14.13351539,538.3092655,36.05888644,12684.00732
CG,27.93542436,17.68581054,15.45835063,654.2038887,399.7913275,13887.95451
CG,58.19805039,13.58885343,6.106191584,496.6174335,19.98322835,7474.72341
CG,94.63304248,6.952220865,9.391729385,516.6996775,229.7675931,19171.17222
CG,34.2345634,10.30607949,16.32689351,366.1600095,951.7213094,2223.561676
CC,86.1936186,13.9353169,5.621221918,438.6850275,24.30934159,3313.323708
CE,66.36616332,19.66169473,6.956163544,12705.53118,191.4209198,9546.620506
CE,63.35143432,15.31170083,9.206127354,6105.573471,96.35124683,9479.906735
CE,83.38849408,18.89738856,5.478453141,13418.93542,160.895707,9544.43668
CC,43.36747747,5.467158707,16.24635289,993.2766076,517.6500102,10099.11061
CG,100.7657384,9.02380255,8.324154688,304.1848138,333.6821714,16362.43666
CE,42.33284637,16.84204499,4.95597669,11886.0683,280.7514968,9417.676715
CC,40.20665772,9.625185891,13.25796327,191.1990276,794.18741,2784.258594
CC,28.58418314,14.18704454,9.27127125,645.1516021,621.1613811,18907.63872
CC,44.57724673,15.02192634,12.59208704,809.8715923,227.7604996,8682.462333
CE,36.39172312,13.03578324,4.761178276,8274.604967,227.3510146,9288.611204
CE,35.12709599,8.288413449,6.110283399,2178.130051,61.98211984,9080.66589
CE,-10.04931487,19.08132166,15.46087589,3620.44577,360.2429204,9444.355617
CC,11.0835978,5.473050073,4.41390474,748.0178655,670.6848412,3311.150287
CE,81.88160422,12.05641242,13.59025286,-1533.840446,-18.75741811,9434.954149
CE,46.05854237,11.91431824,13.5378867,-1623.568464,-35.27510521,9442.078949
CC,53.81150097,12.85262461,14.32819274,293.9113615,652.0644896,19971.28695
CG,111.5452312,19.09714576,1.955140521,368.2790852,803.196914,19624.42318
CE,43.67986182,5.208189924,13.40101544,-8192.825516,-187.5902801,9016.146248
CG,37.7040002,8.596255356,5.035199304,785.7630638,162.0221603,2060.771681
CC,42.00598353,17.85962453,12.37328851,387.9329754,286.0729139,3727.469826
CC,28.62278654,8.677411756,13.98866404,774.9207053,817.5383658,3545.789756
CG,56.00526194,10.35172048,1.674905181,887.2578448,167.6395766,21150.66872
CC,70.32179173,12.70363199,5.892296309,972.4736063,294.7145103,12881.41381
CG,77.93416644,19.24352244,3.902822287,260.7643407,827.6924299,298.1841059
CG,74.05489111,14.7039129,6.60547417,743.4571351,534.5438283,11784.38849
CE,100.9670064,12.32840672,6.794841234,5533.565488,54.78068047,9387.771107
CC,30.82439021,19.15608574,13.65975568,300.539336,74.99150561,12741.90273
CG,18.67849929,10.31222355,18.0865492,112.2365168,450.6557863,16559.93128
CG,76.33472299,12.34092288,12.60088129,948.8074054,45.74775607,11366.8864
CG,89.9204458,16.29836714,5.898648918,285.1941438,845.2564811,7574.7374
CG,121.5329829,19.85512936,5.930634599,580.1319157,57.2557002,9424.978912
CG,45.82803435,6.619132481,2.221958456,693.6854467,770.10159,18189.87696
CC,18.845031,8.673134776,11.05820658,383.9958052,147.8510395,6500.03465
CC,54.3913024,8.249729215,2.993353333,815.9962497,497.6574854,9976.859817
CG,62.78540883,10.09891176,3.937021492,910.0242266,362.7926111,15414.35431
CG,22.21673611,8.180955817,11.83993413,455.4600268,985.2210744,596.0341727
CE,90.74061965,11.01503543,3.533721288,7481.314145,82.4222455,9289.677959
CG,68.21602722,6.93733476,12.43180254,887.2320487,714.5305341,10778.67897
CE,46.86995858,9.462858113,16.3606714,-6897.813291,-147.1941783,9415.815164
CG,-57.95914097,9.422261882,1.063225307,165.539047,410.3368725,10238.78576
CG,-16.25115764,14.54417997,15.87448849,546.6654795,755.2844658,8616.39338
CC,62.48215365,5.38327125,13.17199072,702.5539326,692.1603897,5035.504102
CC,8.108614775,13.16768915,2.029634712,482.3806635,358.971902,11545.07855
CG,58.69641987,13.27832011,18.13355575,689.7147593,788.7221675,9591.052592
CC,112.3673179,14.45289426,6.848606102,727.7253626,292.5585505,585.169456
CE,51.03985242,16.02580929,14.3990467,1626.762592,31.84740001,9543.332017
CG,8.08881258,16.34292135,15.38482247,172.4320033,385.3309694,7426.860883
CG,84.68619689,16.80023505,7.576000825,666.5623597,108.141448,20620.07257
CC,54.03390846,10.33948963,10.16577853,259.0582594,887.7263696,4139.714757
CE,67.15826152,8.053361665,15.23015736,-7176.795699,-106.8889291,9263.523612
CG,34.60146637,15.91258597,13.78736212,717.8981455,519.4988283,13225.38863
CG,40.02323751,10.51815881,16.54371231,382.0998879,885.6252436,12621.84027
CC,60.0775722,13.38672564,18.1337282,326.0138959,636.7206503,12753.01311
CE,8.216603372,15.51103863,8.987405781,6523.632851,793.9323757,9036.858581
CE,1.751489982,8.059784631,15.0537583,-6993.973667,-3993.181535,14085.94235
CG,54.40684739,7.736337744,9.138664252,388.7042863,153.8309942,13765.27887
CE,75.35232906,14.85545551,4.356702275,10498.75324,139.3038485,9435.019783
CC,108.5262037,18.91591311,12.65274716,585.2025702,821.032889,16420.05955
CC,66.22148664,19.03460567,13.43435637,845.4855483,660.0860696,1042.068543
CE,47.49397108,12.21541338,10.21657713,1998.836246,42.06110483,9392.520677
CG,98.43299855,13.55851561,18.30111069,158.6610267,282.6810647,19448.71832
CE,26.28272652,9.201308227,12.11941772,-2918.109493,-111.052655,9359.930859
CE,87.7596177,9.238259383,17.63363308,-8395.373698,-95.68828931,9345.859771
CE,28.13926192,12.26384634,10.31561211,1948.234233,69.21044188,9372.782061
CG,67.73849567,13.03047512,2.19012184,126.3413609,531.0013758,5956.5411
CG,58.09904139,13.06997941,14.67461876,461.782918,73.22920893,19891.29138
CC,94.74494286,18.32822734,12.36278134,487.400065,134.8140344,19633.04051
CG,31.09430661,13.23358104,11.86990903,317.2074943,949.5208349,2511.445962
CC,40.42610863,11.11143092,8.219396644,789.8051702,648.1534754,12768.20649
CC,54.91565314,15.9014992,14.93647782,591.5130742,514.6909383,14285.46864
CC,-4.756006621,5.965988759,11.80398076,395.0457664,982.9591413,21550.96183
CC,99.19351328,9.214709772,18.0595988,600.0014614,735.5538572,2988.030934
CC,63.13204345,12.53690565,2.727716499,384.8183694,881.6895092,439.1474656
CG,64.17176686,17.38914415,14.18516563,751.3071333,605.3466307,3973.80182
CC,40.59647637,14.63736616,1.579706412,251.9667492,215.6847273,5171.92509
CC,95.33732589,14.29837518,10.71460936,736.4524834,622.1693891,4054.331017
CC,16.81024666,19.10494131,12.05876232,748.0685786,716.2331089,15025.26167
CE,59.40281484,16.61628865,10.99877453,5617.514121,94.5414635,9521.829766
CG,77.64147031,17.14161937,12.89511868,121.185326,538.2864384,2932.285124
CC,95.61555106,5.527355264,2.283568617,422.5202117,604.9500929,383.0253141
CC,38.63219021,5.779320509,6.737631594,667.2856432,836.574226,11307.95922
CG,22.73068572,13.72229409,14.69261179,180.4714642,345.6251151,11578.21891
CC,10.40142768,16.2338779,10.65911067,103.9044683,389.6360427,8107.081709
CC,105.7586938,9.533584551,1.904016412,535.0331925,775.1705963,13973.33021
CE,56.15529349,5.086034602,5.87087879,-784.8441877,-14.00131708,8651.211137
CG,49.8533743,17.95222776,3.107373411,568.7172148,887.1085925,21368.87912
CC,60.94626883,6.261182166,8.283020528,435.7264772,393.4811318,7759.598412
CC,65.9655597,14.10871495,16.63702198,188.2857755,230.3905838,3749.818762
CC,62.14360219,12.4817169,9.715767166,287.1310698,46.77699131,20003.59852
CG,44.58063254,11.80568531,14.01224795,701.1233023,563.9715315,6175.587331
CC,79.11227869,12.53634943,8.421717602,912.6325059,770.9515568,7022.046431
CE,60.65131581,6.347167505,1.724029748,4623.137757,76.19985505,8777.092531
CC,41.92789539,14.25306814,6.102083346,622.4122948,504.2600168,6117.742124
CE,55.79146487,5.489210935,14.57961987,-9090.408934,-162.9604769,9021.645316
CE,72.34132448,16.12257816,15.49644007,626.1380872,8.630330708,9560.473317
CE,41.81514888,8.308479867,1.808978639,6499.501227,155.4091286,8970.438465
CG,81.13588689,8.536075945,4.01752242,763.4815765,375.4623928,21750.00822
CC,54.11071947,12.27723369,16.9434859,341.6558217,589.4131898,1671.86753
CE,31.27402544,9.908777641,10.01011685,-101.3392043,-3.265363302,9296.851073
CE,48.05511755,9.637053325,4.618301644,5018.751682,104.4124031,9165.292153
CE,49.22275317,6.638759989,9.61153164,-2972.771651,-60.41925793,9036.596076
CE,77.28470357,19.74688906,15.31748007,4429.408992,57.28788065,9616.502692
CG,51.31251308,17.05405754,16.09128494,634.7370266,782.1604739,17625.52684
CE,76.61335059,10.79644761,14.59333281,-3796.885199,-49.58405425,9397.564857
CE,67.41835089,5.982002822,18.15434442,-12172.3416,-180.5743821,9131.686104
CC,61.6811237,5.718377977,14.62876388,905.5055797,894.277784,6595.005171
CC,103.0116398,12.01908502,11.66193807,583.3893163,168.0690728,17078.34091
CC,62.53924451,19.85094181,17.81382951,592.2552038,133.3592945,20821.60973
CG,68.2049918,9.764107378,8.934522279,789.6403685,552.8823916,21761.95671
CE,56.07460967,10.63880232,5.012946285,5625.85603,100.3030462,9247.750806
CG,102.7619064,5.856512178,1.448122639,538.7716995,587.8725818,4781.584586
CE,61.82765968,19.21339517,8.056499431,11156.89574,180.4265292,9541.764211
CG,22.15940969,15.03505134,8.088319867,190.9473086,799.5777029,11810.10427
CE,14.07249895,8.076322088,10.46512854,-2388.806455,-169.7749828,9343.482081
CE,44.68706767,12.52716343,10.57370616,1953.457276,43.68915217,9406.338749
CG,89.88195261,18.3544224,6.516308594,226.5662476,681.8675282,4819.26094
CE,67.83143262,5.231828857,7.313291943,-2081.463085,-30.71081932,8720.735714
CG,61.13737134,19.05529859,11.09399839,100.5224007,317.8229028,14180.0657
CC,22.81724521,18.25607228,10.04292889,695.0650104,90.04545028,5138.999127
CC,119.00289,8.945257998,8.038239765,151.1928083,213.534246,6686.431073
CG,19.48837806,9.987910013,15.57169041,556.7741433,778.1736538,14900.22578
CG,75.6490363,11.11846006,4.495809324,486.0096944,751.3021771,10641.2048
CG,47.54261053,7.329085064,14.91131628,880.4960684,906.4333838,16991.60403
CE,49.26834143,8.657538879,5.09858764,3558.95124,72.21106755,9108.04782
CG,27.46080367,9.697365826,5.51919695,188.5828694,631.4301259,20540.30304
CC,26.53643328,10.54339158,8.854018049,755.8060412,476.8355835,15276.01168
CG,95.89401606,13.21403053,16.03943074,480.0762945,870.1009671,5558.938023
CE,77.9265713,7.895993943,1.021383966,6874.609977,88.19407421,9001.779789
CC,80.63783167,19.12688657,8.683778175,490.7882188,302.6215712,21918.46657
CC,76.5338423,5.683289645,6.19568314,570.1559178,457.165092,16054.86939
CE,58.48795668,8.631782974,10.22776246,-1595.979486,-27.31231822,9220.685131
CG,162.140052,6.896766016,11.72921146,134.2011544,955.1683215,15967.86228
CC,72.22330337,17.88238567,3.921369339,762.5029611,351.987204,7017.229378
CE,75.43894125,17.47110405,9.039029148,8432.074901,111.7485053,9535.376526
CE,35.84366978,14.33871195,1.752016043,12586.6959,351.130336,9266.928341
CC,38.26671185,15.74355166,15.69151792,607.8930624,360.3311254,6731.234664
CC,41.80888305,19.00151993,14.86982533,527.5908798,33.58472011,16620.97556
CC,51.55047006,18.71755919,5.434152934,768.3667534,408.4631469,15212.6584
CE,58.49052302,12.64443746,15.89526204,-3250.824575,-55.60365458,9490.371677
CG,38.56261208,17.95564761,13.38141919,721.2029475,726.1032856,1594.841613
CG,61.59500942,15.45316713,9.538781014,940.9008015,686.1747691,21749.86137
CC,45.60227907,14.99448909,6.719031853,361.5461922,499.3170015,1944.073846
CG,72.69606587,19.79828603,11.16337813,760.219918,59.15503147,298.0877034
CC,49.52583999,17.65378362,6.121036128,156.8579075,926.1811698,18846.73578
CE,45.33252085,18.91000832,16.74673691,2163.271408,47.69507749,9604.603517
CC,44.19025126,9.23624405,12.00620497,696.3615185,754.6724176,1092.546136
CG,113.8561412,18.84983754,1.809693273,345.7865994,105.6415599,6559.412732
CG,53.31122577,15.75004486,18.20632325,371.8146497,512.037528,1616.302302
CG,55.14704808,8.836457258,16.29556885,255.9815374,243.1472499,14798.05702
CE,65.14578708,5.686405505,16.23123126,-10544.82575,-161.8900449,9053.6905
CC,71.53392,5.933186954,2.996258393,193.7363016,653.5514738,2151.645226
CE,4.954183289,9.301517024,6.40804627,2893.470754,584.0209639,8619.557476
CG,76.40851176,14.77385704,17.93191105,995.469144,830.7832092,17254.80524
CC,37.63066154,19.09889721,10.79898223,730.3301772,474.8218518,1404.169902
CG,55.72921212,15.1831574,3.996517215,587.428767,811.4707842,8643.046814
CE,57.27645733,7.250135718,5.440385186,1809.750532,31.57176099,8990.954391
CC,81.25390826,6.449126622,8.419654938,146.2908483,915.6013393,9434.473947
CG,54.81890644,11.50746146,17.69016454,918.3969146,234.2977944,15480.01753
CE,13.58171907,17.22352096,11.83788254,5385.63842,396.510843,9363.364294
CC,78.29900146,13.3906227,6.162664836,581.103198,471.7826449,6630.101559
CG,39.14202818,19.43434409,10.35340643,468.3714566,156.6712782,663.4428024
CC,70.66647261,19.87948099,2.500563058,947.416629,105.6345774,3360.421591
CE,64.30255752,11.58030373,13.57210481,-1991.801074,-31.00045651,9422.29534
CG,62.0994389,5.6292995,2.901038903,609.5720938,466.6313259,2922.88139
CC,13.34585353,9.373682372,2.009302091,674.3763451,844.4059263,17534.59432
CG,37.22062799,9.019934983,18.2704018,526.3984107,434.428617,20225.19191
CC,42.00732616,9.719921473,4.345448894,657.0483965,708.6421318,1953.245227
CG,35.25544617,19.4364439,6.31353739,276.646979,74.02439885,3852.080111
CC,7.98938724,12.95882571,1.301953066,744.6719145,154.9385929,3469.295149
CC,108.8391013,8.063660225,5.981848889,538.3102835,519.6314675,4164.666407
CG,85.704099,10.29060936,14.52590042,827.7659397,151.3733142,8646.910368
CE,81.9873424,16.78102609,13.30809812,3472.927963,42.33431866,9557.634727
CE,74.53504544,17.05802087,11.57643849,5481.582377,73.51869136,9546.536672
CC,31.71229772,11.30614165,6.017929092,297.282988,158.9218182,14845.41073
CE,72.08543442,6.041030335,5.750617477,290.4128584,4.003731473,8834.629703
CE,81.82746286,16.86751814,8.667035717,8200.482423,100.1917504,9525.601962
CE,56.21673084,15.49891529,6.640841009,8858.074278,157.5450712,9446.706395
CG,-4.311885172,14.2232211,18.01436727,520.4879683,281.1561072,12987.10583
CG,11.10557177,14.15764193,9.611087005,170.2907125,373.3086444,16294.43735
CC,92.16226452,11.34484052,1.814811575,896.9127778,996.6079577,11670.21379
CG,20.55007582,15.1765781,3.921840068,884.530319,783.5161799,13602.56926
CG,70.88220586,10.96201575,4.210706836,990.5886177,345.9815642,292.4664131
CC,68.44008565,16.01682407,12.61424343,448.9399926,397.6994427,17741.48641
CE,53.40050018,16.70240552,10.77361925,5928.786271,110.9999202,9514.441247
CG,101.0120108,16.85980911,3.92557991,949.4570247,234.019339,20363.38954
CE,67.13996112,12.1675423,16.84242118,-4674.878881,-69.65385893,9481.944566
CG,108.7729685,15.69220472,15.82637826,134.0108719,533.6188068,3334.24414
CC,89.41996116,15.47231131,13.98027489,646.6465173,505.7094386,11189.88711
CG,16.65125608,14.37836951,10.8816899,389.2123252,287.7373284,11042.30301
CC,15.52407357,19.30544009,4.322178335,459.6557521,365.624652,8860.429975
CC,10.47819634,6.760442358,9.103206237,412.1641102,485.9274524,16702.98076
CE,4.432536453,15.1243096,16.79371718,-1669.407575,-376.6507971,9786.205644
CE,76.47584419,16.83959472,5.680271577,11159.32314,145.894581,9497.675214
CG,84.42077102,11.08115688,8.485971918,772.1247696,810.6669463,5659.153039
CG,46.27899193,18.96340067,5.897321532,228.7622816,537.9050411,21642.25897
CE,53.77890262,19.73667512,10.17962522,9557.049897,177.6850207,9555.302494
CG,74.14987319,17.60954476,13.39285197,762.0423508,102.8677414,15180.28328
CE,47.92512497,18.39738727,15.62845928,2768.927987,57.75112449,9588.120251
CC,60.48225883,15.41798497,15.86603147,305.0887104,992.4635829,8666.967643
CE,75.92444426,6.742415423,5.519126356,1223.289068,16.08692653,8937.937102
CE,45.30608218,9.119682177,2.80297335,6316.708827,139.3979764,9079.575406
CG,66.34640301,7.219769718,14.21850659,973.3385691,27.29773695,13215.36412
CC,85.90708663,18.00241954,2.678290874,683.1814841,582.11691,7949.628439
CC,56.3606647,19.11470582,5.952562655,177.7606148,662.9795404,14471.70011
CE,59.37171298,12.52269845,3.23985758,9282.840874,156.3262388,9316.18074
CG,77.25594825,12.51429773,10.13595336,963.3791817,965.2677013,21094.5742
CG,18.11676699,12.64587032,7.162308057,177.3181336,240.5010552,16123.70717
CE,85.80284813,6.224978896,15.54969882,-9324.71992,-108.7011118,9050.119048
CE,62.80722962,16.03650846,15.91383011,122.6783434,1.928251945,9562.293592
CE,39.44307337,14.02505481,4.18866349,9836.391321,249.3569695,9323.09928
CG,55.12685909,9.380395121,17.42605227,856.9869724,685.6856652,15786.49286
CC,107.7675961,9.146489484,3.194132607,486.0568901,894.8143473,6524.989786
CE,61.61070417,5.225110309,15.34800197,-10122.89166,-164.3291059,8974.814191
CG,53.69959328,15.90590504,15.37297345,196.2304267,348.696736,19665.49021
CC,71.21252764,9.069367685,12.00017482,436.3937388,620.788938,9152.333305
CG,12.95075283,17.64873012,12.06211257,736.1253377,325.4917289,13920.55614
CC,48.79914778,12.23411863,9.961224858,213.1729416,670.7275177,2683.747483
CG,81.21531012,16.22215965,15.11322924,324.16505,892.1213903,14569.96825
CG,44.8661944,10.96527755,11.80360564,577.5956331,337.3490498,21000.51371
CC,67.48225608,13.33037891,13.48867862,363.4508341,945.2164217,12387.42703
CC,66.62222317,10.14712843,12.72476542,753.0868421,233.3356019,21479.43233
CE,47.08769766,14.98769876,14.78465245,203.0463038,4.287088165,9530.089909
CC,77.61575895,5.573806524,4.941028701,534.2346941,119.4922862,231.9523073
CC,8.755155304,17.35694582,9.585979664,222.3681374,247.9752659,13278.25765
CG,56.27465518,9.350858205,11.33973093,874.3983296,398.5359302,10083.96535
CG,81.65597924,15.86163025,4.800085897,103.9546002,655.2193891,16464.87328
CC,72.82992436,8.846049092,4.808776061,934.564046,199.5999181,17242.51441
CC,61.63357884,10.32268736,6.049296355,500.588572,588.6600397,14032.64451
CC,53.88316913,14.27836604,3.876306806,455.6745374,599.3417773,17236.49622
CC,45.62874646,11.66327509,6.435484155,817.4632553,900.4474588,15700.5321
CG,34.87339926,16.00107615,9.341105106,924.8855847,622.3591197,158.8540432
CC,66.84625631,10.31314562,12.50133697,372.8747703,823.8983756,8665.616361
CC,42.91232586,11.49373413,17.25091965,292.9858022,820.4606913,20085.43239
CE,61.28487912,17.65365751,14.77236374,2881.29377,46.98975815,9576.864025
CE,38.50846084,8.340370652,17.78374952,-9443.378868,-245.253676,9454.76485
CC,44.30886654,5.045434412,7.206320487,950.4368791,292.0776467,6286.76563
